10/10/22 16:31--> пользователь искал - 111
10/10/22 16:31--> пользователь искал - 111
10/10/22 16:36--> пользователь написал - 123
10/10/22 16:36--> пользователь начал диалог - 
10/10/22 16:36--> пользователь выбрал - посмотреть все контакты
10/10/22 16:36--> пользователь выбрал - поиск
10/10/22 16:36--> пользователь искал - 111
10/10/22 16:39--> пользователь выбрал - экспорт
10/10/22 16:39--> пользователь выбрал  - добавить новый контакт
10/10/22 16:39--> пользователь написал - ыыыыы
10/10/22 16:39--> пользователь написал - ууууууу
10/10/22 16:39--> пользователь написал - 123123
10/10/22 16:39--> пользователь написал - 321321
10/10/22 16:39--> пользователь написал - ееееееее
10/10/22 16:40--> пользователь выбрал - посмотреть все контакты
10/10/22 16:40--> пользователь выбрал - удаление профиля
10/10/22 16:40--> пользователь удалил - 5
10/10/22 16:40--> пользователь выбрал - посмотреть все контакты
10/10/22 16:47--> пользователь написал - 123
10/10/22 16:47--> пользователь начал диалог - 
10/10/22 16:47--> пользователь выбрал - редактирование профиля
10/10/22 16:47--> пользователь редактирует id - 6
10/10/22 16:47--> пользователь написал - 321
10/10/22 16:47--> пользователь написал - 312
10/10/22 16:47--> пользователь написал - 321
10/10/22 16:47--> пользователь написал - 312
10/10/22 16:47--> пользователь написал - 312
10/10/22 16:48--> пользователь выбрал - посмотреть все контакты
10/10/22 16:53--> пользователь написал - 7
10/10/22 16:53--> пользователь начал диалог - 
10/10/22 16:53--> пользователь выбрал - редактирование профиля
10/10/22 16:53--> пользователь редактирует id - 6
10/10/22 16:53--> пользователь написал - 312
10/10/22 16:53--> пользователь написал - 312
10/10/22 16:53--> пользователь написал - 312
10/10/22 16:53--> пользователь написал - 312
10/10/22 16:53--> пользователь написал - 312
10/10/22 16:53--> пользователь написал - 1
10/10/22 16:55--> пользователь написал - 123
10/10/22 16:55--> пользователь начал диалог - 
10/10/22 16:55--> пользователь выбрал - редактирование профиля
10/10/22 16:55--> пользователь редактирует id - 6
10/10/22 16:55--> пользователь написал - 321
10/10/22 16:55--> пользователь написал - 321
10/10/22 16:55--> пользователь написал - 312
10/10/22 16:55--> пользователь написал - 312
10/10/22 16:55--> пользователь написал - 312
10/10/22 16:56--> пользователь выбрал - посмотреть все контакты
10/10/22 17:03--> пользователь написал - 123
10/10/22 17:03--> пользователь начал диалог - 
10/10/22 17:03--> пользователь выбрал - импорт
10/10/22 17:03--> пользователь выбрал - посмотреть все контакты
10/10/22 17:28--> пользователь написал - /cancel
10/10/22 17:28--> пользователь написал - 123
10/10/22 17:29--> пользователь написал - /cancel
10/10/22 17:29--> пользователь написал - 1
10/10/22 17:29--> пользователь начал диалог - 
10/10/22 17:29--> пользователь выбрал  - добавить новый контакт
10/10/22 17:29--> пользователь написал - 1234
10/10/22 17:29--> пользователь написал - qwer
10/10/22 17:29--> пользователь не прошел проверку телефона - 123
10/10/22 17:29--> пользователь не прошел проверку телефона - 123
10/10/22 17:29--> пользователь написал - +7123
10/10/22 17:30--> пользователь написал - 8123
10/10/22 17:30--> пользователь написал - 8123
10/10/22 17:34--> пользователь написал - 123
10/10/22 17:35--> пользователь написал - .start
10/10/22 17:35--> пользователь начал диалог - 
10/10/22 17:35--> пользователь выбрал - импорт
10/10/22 17:37--> пользователь написал - 123
10/10/22 17:37--> пользователь начал диалог - 
10/10/22 17:46--> пользователь написал - 123
10/10/22 17:49--> пользователь начал диалог - 
